# Match score is a heuristic combining Tpeak, WD mass, WD composition, and initial abundance distance.
# Property match score uses only Iliadis Table 1 properties: Tpeak, WD mass, and WD composition.
# Lower score is better. Composition/mass are inferred from case names when available.
case	trajectory	initial_abundance	case_wd_composition	case_wd_mass_msun	case_tpeak_gk	case_peak_rho_cgs	trajectory_points	iliadis_model	iliadis_model_label	iliadis_wd_composition	iliadis_wd_mass_msun	iliadis_tpeak_gk	abs_tpeak_diff_gk	abs_mass_diff_msun	composition_match	initial_abundance_rms_log10	initial_abundance_l1	property_match_score	match_score
ne_nova_1.3_20_X_Barcelona	nova_cases/ne_nova_1.3_20_X_Barcelona/trajectory_ne_nova_1.3_20_X_Barcelona.input	nova_cases/ne_nova_1.3_20_X_Barcelona/iniab_ne_nova_1.3_20_X_Barcelona.dat	ONe	1.300	0.2784	3.232380E+02	796	S1	S1	ONe	1.350	0.418	0.1396	0.050	True	8.800298	3.634998E-01	3.292000	6.292000
ne_nova_1.3_20_X_Barcelona	nova_cases/ne_nova_1.3_20_X_Barcelona/trajectory_ne_nova_1.3_20_X_Barcelona.input	nova_cases/ne_nova_1.3_20_X_Barcelona/iniab_ne_nova_1.3_20_X_Barcelona.dat	ONe	1.300	0.2784	3.232380E+02	796	JH2	JH 2	CO	1.000	0.170	0.1084	0.300	False	5.941013	4.969715E-01	8.168000	11.168000
ne_nova_1.3_20_X_Barcelona	nova_cases/ne_nova_1.3_20_X_Barcelona/trajectory_ne_nova_1.3_20_X_Barcelona.input	nova_cases/ne_nova_1.3_20_X_Barcelona/iniab_ne_nova_1.3_20_X_Barcelona.dat	ONe	1.300	0.2784	3.232380E+02	796	JH1	JH 1	CO	0.800	0.145	0.1334	0.500	False	5.967783	7.445202E-01	10.668000	13.668000
ne_nova_1.3_20_X_weiss_mixed	nova_cases/ne_nova_1.3_20_X_weiss_mixed/trajectory_ne_nova_1.3_20_X_weiss_mixed.input	nova_cases/ne_nova_1.3_20_X_weiss_mixed/iniab_ne_nova_1.3_20_X_weiss_mixed.dat	ONe	1.300	0.3157	4.761910E+02	196	JCH2	JCH 2	ONe	1.250	0.251	0.0647	0.050	True	0.728857	1.926719E-01	1.794000	2.522857
ne_nova_1.3_20_X_weiss_mixed	nova_cases/ne_nova_1.3_20_X_weiss_mixed/trajectory_ne_nova_1.3_20_X_weiss_mixed.input	nova_cases/ne_nova_1.3_20_X_weiss_mixed/iniab_ne_nova_1.3_20_X_weiss_mixed.dat	ONe	1.300	0.3157	4.761910E+02	196	JCH1	JCH 1	ONe	1.150	0.231	0.0847	0.150	True	0.728857	1.926719E-01	3.194000	3.922857
ne_nova_1.3_20_X_weiss_mixed	nova_cases/ne_nova_1.3_20_X_weiss_mixed/trajectory_ne_nova_1.3_20_X_weiss_mixed.input	nova_cases/ne_nova_1.3_20_X_weiss_mixed/iniab_ne_nova_1.3_20_X_weiss_mixed.dat	ONe	1.300	0.3157	4.761910E+02	196	P1	P1	ONe	1.250	0.290	0.0257	0.050	True	8.333205	1.837898E-01	1.014000	4.014000
ne_nova_1.3_20_X_weiss_mixed	nova_cases/ne_nova_1.3_20_X_weiss_mixed/trajectory_ne_nova_1.3_20_X_weiss_mixed.input	nova_cases/ne_nova_1.3_20_X_weiss_mixed/iniab_ne_nova_1.3_20_X_weiss_mixed.dat	ONe	1.300	0.3157	4.761910E+02	196	P2	P2	ONe	1.350	0.356	0.0403	0.050	True	8.333205	1.837898E-01	1.306000	4.306000
ne_nova_1.3_20_X_weiss_mixed	nova_cases/ne_nova_1.3_20_X_weiss_mixed/trajectory_ne_nova_1.3_20_X_weiss_mixed.input	nova_cases/ne_nova_1.3_20_X_weiss_mixed/iniab_ne_nova_1.3_20_X_weiss_mixed.dat	ONe	1.300	0.3157	4.761910E+02	196	S1	S1	ONe	1.350	0.418	0.1023	0.050	True	8.333205	1.837898E-01	2.546000	5.546000
ne_nova_1.3_20_X_weiss_mixed	nova_cases/ne_nova_1.3_20_X_weiss_mixed/trajectory_ne_nova_1.3_20_X_weiss_mixed.input	nova_cases/ne_nova_1.3_20_X_weiss_mixed/iniab_ne_nova_1.3_20_X_weiss_mixed.dat	ONe	1.300	0.3157	4.761910E+02	196	JH2	JH 2	CO	1.000	0.170	0.1457	0.300	False	1.092312	5.856752E-01	8.914000	10.006312
ne_nova_1.3_20_X_weiss_mixed	nova_cases/ne_nova_1.3_20_X_weiss_mixed/trajectory_ne_nova_1.3_20_X_weiss_mixed.input	nova_cases/ne_nova_1.3_20_X_weiss_mixed/iniab_ne_nova_1.3_20_X_weiss_mixed.dat	ONe	1.300	0.3157	4.761910E+02	196	JH1	JH 1	CO	0.800	0.145	0.1707	0.500	False	1.032137	7.492453E-01	11.414000	12.446137
